Mem_used Mem_free Mem_total Mem_Disp Date Time Elapsed_time
1344048 3790264 7088316 5504088 2022-12-26 21:30:58 0
1346484 3787548 7088316 5501544 2022-12-26 21:31:03 5
1346700 3787300 7088316 5501328 2022-12-26 21:31:08 10
1347440 3786544 7088316 5500588 2022-12-26 21:31:13 15
1347680 3786292 7088316 5500348 2022-12-26 21:31:18 20
1349312 3784552 7088316 5498668 2022-12-26 21:31:23 25
1350280 3783572 7088316 5497704 2022-12-26 21:31:28 30
1351288 3782564 7088316 5496700 2022-12-26 21:31:33 35
1351624 3781332 7088316 5496328 2022-12-26 21:31:38 40
1353108 3779824 7088316 5494828 2022-12-26 21:31:43 45
1353848 3779068 7088316 5494108 2022-12-26 21:31:48 50
1354100 3778816 7088316 5493856 2022-12-26 21:31:53 55
1355344 3777556 7088316 5492608 2022-12-26 21:31:58 60
1356088 3776800 7088316 5491868 2022-12-26 21:32:03 65
1356576 3776296 7088316 5491376 2022-12-26 21:32:08 70
1356816 3776044 7088316 5491140 2022-12-26 21:32:13 75
1358304 3774536 7088316 5489644 2022-12-26 21:32:18 80
1358536 3774284 7088316 5489408 2022-12-26 21:32:23 85
1358524 3774284 7088316 5489428 2022-12-26 21:32:28 90
1358524 3774284 7088316 5489432 2022-12-26 21:32:34 95
1358508 3774284 7088316 5489448 2022-12-26 21:32:39 100
1358996 3773780 7088316 5488956 2022-12-26 21:32:44 105
1360244 3772520 7088316 5487712 2022-12-26 21:32:49 110
1361232 3771512 7088316 5486720 2022-12-26 21:32:54 115
1362196 3770504 7088316 5485736 2022-12-26 21:32:59 120
1363452 3769248 7088316 5484492 2022-12-26 21:33:04 125
1363436 3769248 7088316 5484508 2022-12-26 21:33:09 130
1363424 3769248 7088316 5484520 2022-12-26 21:33:14 135
1363412 3769248 7088316 5484532 2022-12-26 21:33:19 140
1363396 3769248 7088316 5484548 2022-12-26 21:33:24 145
1363384 3769248 7088316 5484560 2022-12-26 21:33:29 150
1363368 3769248 7088316 5484576 2022-12-26 21:33:34 155
1363356 3769248 7088316 5484588 2022-12-26 21:33:39 160
1363592 3768996 7088316 5484348 2022-12-26 21:33:44 165
1363820 3768744 7088316 5484120 2022-12-26 21:33:49 170
